team_external_id;team_name_pt;team_name_en;rank_goals;goals;assists;attempt_at_goal;attempt_at_goal_on_target;attempt_at_goal_off_target;attempt_at_goal_conversion_rate;attempt_at_goal_inside_the_penalty_area;attempt_at_goal_outside_the_penalty_area;headed_attempt_at_goal;xg;xg_goal_effiency_rate;corners;possession;rank_assists;rank_attempt_at_goal;rank_attempt_at_goal_on_target;rank_attempt_at_goal_off_target;rank_attempt_at_goal_conversion_rate;rank_attempt_at_goal_inside_the_penalty_area;rank_goals_conceded;goals_conceded;rank_attempt_at_goal_outside_the_penalty_area;rank_headed_attempt_at_goal;rank_xg;rank_xg_goal_effiency_rate;rank_corners;rank_possession
285023_43948;Alemanha;Germany;5;11;10;74;28;26;15;48;26;12;8.64;1.27x;34;56;2;8;9;13;10;7;13;1;9;10;10;19;4;5
285023_43922;Argentina;Argentina;1;14;8;76;34;29;18;46;30;14;11.91;1.18x;23;55;9;7;2;11;6;10;32;0;6;6;1;24;15;6
285023_43843;Argélia;Algeria;22;5;3;44;16;16;11;26;18;5;4.73;1.06x;14;56;23;25;22;30;25;24;13;1;20;31;22;27;28;3
285023_43835;Arábia Saudita;Saudi Arabia;44;1;0;17;8;5;6;8;9;3;1.52;0.66x;7;33;45;47;36;48;36;47;13;1;44;43;47;40;45;44
285023_43976;Austrália;Australia;29;3;1;42;13;19;7;26;16;6;2.73;1.1x;16;35;37;26;27;22;35;24;32;0;26;26;31;26;25;42
285023_43924;Brasil;Brazil;9;10;8;73;29;24;14;50;23;11;10.88;0.92x;27;48;9;9;8;18;13;6;13;1;15;13;2;32;6;21
285023_43935;Bélgica;Belgium;3;13;9;107;33;42;12;70;37;15;10.28;1.26x;23;49;4;1;3;1;21;1;13;1;4;4;5;20;15;19
285023_44037;Bósnia e Herzegovina;Bosnia and Herzegovina;22;5;3;37;14;14;14;16;21;5;2.04;2.45x;15;40;23;29;24;37;13;37;13;1;19;31;40;2;26;34
285023_43850;Cabo Verde;Cabo Verde;27;4;2;49;12;21;8;20;29;6;2.56;1.56x;17;35;30;20;29;20;33;31;32;0;8;26;32;9;24;40
285023_43899;Canadá;Canada;13;9;3;81;32;29;11;57;24;16;9.02;1x;50;46;23;5;4;11;25;3;13;1;14;2;8;30;1;22
285023_43834;Catar;Qatar;35;2;1;17;6;10;12;10;7;2;1.88;1.06x;9;31;37;47;44;42;21;45;13;1;47;47;42;27;39;46
285023_43926;Colômbia;Colombia;22;5;5;94;31;42;5;55;39;13;7.19;0.7x;24;53;16;2;7;1;41;4;;;2;8;13;39;14;9
285023_43854;Costa do Marfim;Côte d'Ivoire;22;5;4;45;14;17;11;30;15;3;5.5;0.91x;26;45;19;24;24;29;25;21;32;0;29;43;19;33;7;26
285023_43938;Croácia;Croatia;20;6;5;37;17;14;16;21;16;8;3.41;1.76x;12;46;16;29;20;37;7;29;;;26;19;28;5;31;23
285023_1895293;Curaçau;Curaçao;44;1;0;29;7;18;3;14;15;4;1.7;0.59x;5;32;45;40;40;23;46;40;1;7;29;40;45;42;48;45
285023_43921;EUA;USA;5;11;4;59;19;24;19;47;12;12;6.37;1.73x;26;52;19;17;18;18;4;9;13;1;32;10;16;6;7;13
285023_43855;Egito;Egypt;16;8;8;67;19;30;12;42;25;10;5.75;1.39x;26;46;9;13;18;9;21;13;13;1;13;14;18;15;7;24
285023_43927;Equador;Ecuador;35;2;2;53;20;26;4;35;18;12;5.88;0.34x;25;52;30;18;17;13;44;19;13;1;20;10;17;47;12;12
285023_43967;Escócia;Scotland;44;1;0;29;7;12;3;23;6;6;2.34;0.43x;12;41;45;40;40;41;46;27;32;0;48;26;36;46;31;33
285023_43969;Espanha;Spain;13;9;8;93;32;41;10;55;38;16;10.56;0.85x;39;59;9;3;4;3;30;4;32;0;3;2;4;34;2;1
285023_43946;França;France;1;14;12;88;39;35;16;48;40;5;9.79;1.43x;36;54;1;4;1;4;7;7;13;1;1;31;6;14;3;8
285023_43860;Gana;Ghana;35;2;2;23;3;10;9;12;11;3;2.34;0.85x;8;34;30;43;47;42;31;43;;;38;43;37;34;43;43
285023_43908;Haiti;Haiti;35;2;1;31;7;15;6;16;15;5;1.62;1.24x;9;42;37;37;40;32;36;37;13;1;29;31;46;22;39;28
285023_43960;Holanda;Netherlands;5;11;10;46;22;15;24;35;11;14;5;2.2x;18;50;2;23;14;32;2;19;6;2;38;6;21;3;22;16
285023_43942;Inglaterra;England;5;11;9;80;32;30;14;63;17;22;10.59;1.04x;31;53;4;6;4;9;13;2;;;25;1;3;29;5;10
285023_43818;Iraque;Iraq;44;1;1;21;2;13;5;12;9;6;2.11;0.47x;7;37;37;44;48;39;41;43;3;4;44;26;39;45;45;38
285023_43819;Japão;Japan;16;8;7;32;11;15;25;16;16;5;3.17;2.52x;13;42;13;34;30;32;1;37;6;2;26;31;30;1;29;30
285023_43820;Jordânia;Jordan;29;3;3;24;9;9;13;13;11;3;1.87;1.6x;6;29;23;42;35;44;18;41;;;38;43;43;8;47;47
285023_43872;Marrocos;Morocco;9;10;9;64;25;20;16;38;26;9;6.4;1.56x;25;54;4;14;11;21;7;16;13;1;9;17;14;9;12;7
285023_43911;México;Mexico;9;10;7;70;21;32;14;44;26;13;8.1;1.23x;19;48;13;10;16;6;13;12;32;0;9;8;11;23;21;20
285023_43961;Noruega;Norway;4;12;9;52;26;18;23;42;10;10;9.07;1.32x;22;50;4;19;10;23;3;13;13;1;43;14;7;18;17;15
285023_43978;Nova Zelândia;New Zealand;27;4;3;31;15;8;13;19;12;6;2.48;1.62x;10;42;23;37;23;45;18;33;6;2;32;26;34;7;36;31
285023_43914;Panamá;Panama;48;0;0;32;7;16;0;20;12;5;2.19;0x;12;42;45;34;40;30;48;31;;;32;31;38;48;31;29
285023_43928;Paraguai;Paraguay;29;3;3;35;8;18;9;17;18;4;1.99;1.51x;10;27;23;32;36;23;31;36;3;4;20;40;41;12;36;48
285023_43963;Portugal;Portugal;16;8;4;62;17;31;13;40;22;8;6.39;1.25x;22;53;19;16;20;8;18;15;;;17;19;15;21;17;11
285023_20014;RD do Congo;Congo DR;22;5;3;41;10;25;12;18;23;5;3.71;1.35x;13;37;23;27;33;15;21;35;;;15;31;27;17;29;35
285023_43817;RI do Irã;IR Iran;29;3;1;37;10;15;8;26;11;7;4.57;0.66x;8;37;37;29;33;32;33;24;6;2;38;22;24;40;43;37
285023_43822;República da Coreia;Korea Republic;35;2;2;32;11;13;6;21;11;9;3.38;0.59x;12;56;30;34;30;39;36;29;13;1;38;17;29;42;31;4
285023_43879;Senegal;Senegal;9;10;9;68;22;32;15;38;30;7;7.22;1.38x;22;49;4;12;14;6;10;16;5;3;6;22;12;16;17;18
285023_43970;Suécia;Sweden;19;7;6;48;23;18;15;30;18;8;4.66;1.5x;18;43;15;22;13;23;10;21;13;1;20;19;23;13;22;27
285023_43971;Suíça;Switzerland;13;9;5;63;25;25;14;45;18;5;8.97;1x;26;50;16;15;11;15;13;11;13;1;20;31;9;30;7;17
285023_43995;Tchéquia;Czechia;35;2;2;34;8;15;6;22;12;10;2.44;0.82x;15;37;30;33;36;32;36;28;6;2;32;14;35;36;26;36
285023_43888;Tunísia;Tunisia;35;2;2;18;6;8;11;6;12;4;1.12;1.78x;9;36;30;45;44;45;25;48;2;5;32;40;48;4;39;39
285023_43972;Turquia;Türkiye;29;3;2;70;14;35;4;37;33;7;5.5;0.55x;22;58;30;10;24;4;44;18;6;2;5;22;20;44;17;2
285023_43930;Uruguai;Uruguay;29;3;1;49;13;25;6;27;22;15;3.95;0.76x;26;51;37;20;27;15;36;23;13;1;17;4;25;38;7;14
285023_44005;Uzbequistão;Uzbekistan;35;2;1;18;5;8;11;10;8;2;1.71;1.17x;9;35;37;45;46;45;25;45;;;46;47;44;25;39;41
285023_43883;África do Sul;South Africa;35;2;1;39;11;18;5;13;26;5;2.48;0.8x;11;46;37;28;30;23;41;41;6;2;9;31;33;37;35;25
285023_43934;Áustria;Austria;20;6;4;31;8;18;19;19;12;7;3.88;1.55x;10;41;19;37;36;23;4;33;;;32;22;26;11;36;32
